Comment,Description,Designator,Footprint,LibRef,Quantity,MPN,MYPN,VENDOR
"PKMCS0909E4000-R1","11 mm, 5 Vp-p, 83 dB, Surface Mount _SMT_, Piezo Audio Transducer Buzzer","LS1","MURATA_PKMCS0909E4000-R1","CPT-1117-83-SMT-TR","1","PKMCS0909E4000-R1","SPK-PKMCS0909E4000-R1","Murata"
"ANT 2.5GHz","Header, 2-Pin","P1","B_RES0603","Header 2","1","?2450AT14A0100T?","Y-?2450AT14A0100T?","Johanson Technology"
"FPC","Header, 6-Pin","P2","HRS_FH34SRJ-6S-0.5SH(50)","Header 6","1","FH34SRJ-6S-0.5SH(50)","J-FH34SRJ-6S-0.5SH(50)","HRS"
"USB Type C Male Connector","USB Type C Connector","P3","MOLEX_1054440001","USB_TYPE_C","1","1054440001","P-1054440001","Molex"
"PMZB670UPE","P-Channel MOSFET","Q1, Q3","SOT883","MOSFET-P","2","PMZB670UPE","Q-PMZB670UPE","Nexperia"
"PMZ290UNE2","N-Channel MOSFET","Q2, Q4, Q5","SOT883","MOSFET-N","3","PMZ290UNE2","Q-PMZ290UNE2","Nexperia"
"100k, 1%","Resistor","R1, R9","B_RES0201","Res1","2","ANY","R-104-1P-1_16W-0201","ANY"
"470, 1%","Resistor","R2, R4, R10","B_RES0201","Res1","3","ANY","R-471-1P-1_16W-0201","ANY"
"8.06k, 1%","Resistor","R3","B_RES0201","Res1","1","ANY","R-8061-1P-1_16W-0201","ANY"
"10, 1%","Resistor","R5","B_RES0402","Res1","1","ANY","R-100-1P-1_16W-0402","ANY"
"DNP","Resistor","R6","B_RES0201","Res1","1","ANY","DNP","ANY"
"5.1k, 1%","Resistor","R7, R8","B_RES0201","Res1","2","ANY","R-512-1P-1_16W-0201","ANY"
"solder terminal (DNP)","Connector","TP1, TP2, TP3","TP_SMT_1.5x1mm","CON1","3","DNP","Built into PCB","DNP"
"solder terminal (DNP)","Connector","TP4, TP5","TP_0.4x0.4_SMT","CON1","2","DNP","Built into PCB","DNP"
"MCP73832T-2ACI/MC","Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controller","U1","SON50P300X100_HS-9L","MCP73832T-2ACI/MC","1","MCP73832T-2ACI/MC","U-MCP73832T-2ACI/MC","Microchip"
"MX25R1635FZUIL0","64Mbit SPI NOR FLASH","U2","USON-8","EN25P05-50GCP","1","MX25R1635FZUIL0","U-MX25R1635FZUIL0","Macronix"
"ICS-43434","Digital I2S microphone","U3","INVENSENSE_ICS_43434","ICS-43434","1","ICS-43434","MIC-ICS-43434","TDK InvenSense"
"NRF52833QIAA","BLE plus NFC and USB","U4","NORDIC_AQFN_7X7_73","NRF52833QIAA","1","NRF52833QIAA","U-NRF52833QIAA","Nordic"
"32MHz 8pF 10ppm","XTAL SMD 2016, 32MHz, Cl=8pF, Total Tol: ±40ppm","X1","XTAL_20X16","XTAL_SMD2016_32MHz_8pF_General","1","NX2016SA-32MHZ-EXS00A-CS11336","Y-NX2016SA-32MHZ-EXS00A-CS11336","NDK"
"32.768kHz, 9pF 20ppm","XTAL SMD 3215, 32.768kHz, Cl=9pF, Total Tol: ±50ppm","X2","XTAL_3215","XTAL_SMD3215_32.768kHz_9pF_General","1","RT3215-32.768-9-TR","Y-RT3215-32.768-9-TR","Raltron Electronics"
